hop,date,match_date,from,to,tournament,round,score,result,source,corrob,year,same_day,source_disagree,non_played,early_era
81,19700202,1970-02-02,Tony Roche,Rod Laver,Philadelphia WCT,F,6-3 8-6 6-2,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
82,19700212,1970-02-12,Rod Laver,Andres Gimeno,Miami,SF,4-6 11-9 7-5,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
83,19700212,1970-02-12,Andres Gimeno,Ken Rosewall,Miami,F,3-6 6-2 3-6 7-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
84,19700304,1970-03-04,Ken Rosewall,Marty Riessen,Wembley,F,6-4 6-2,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
85,19700316,1970-03-16,Marty Riessen,Bill Bowrey,Sydney,R32,7-5 8-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
86,19700316,1970-03-16,Bill Bowrey,Richard Gonzalez,Sydney,R16,6-3 6-4 6-2,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
87,19700316,1970-03-16,Richard Gonzalez,Ken Rosewall,Sydney,QF,6-0 10-8 6-2,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
88,19700316,1970-03-16,Ken Rosewall,Rod Laver,Sydney,F,3-6 6-2 3-6 6-2 6-3,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
89,19700421,1970-04-21,Rod Laver,Cliff Drysdale,Dallas,R16,4-5 RET,RET,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,TRUE,TRUE
90,19700421,1970-04-21,Cliff Drysdale,Roy Emerson,Dallas,QF,6-4 6-4,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
91,19700421,1970-04-21,Roy Emerson,Andres Gimeno,Dallas,F,6-2 6-3 6-2,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
92,19700513,1970-05-13,Andres Gimeno,Richard Gonzalez,Las Vegas,QF,8-6 6-4,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
93,19700716,1970-07-16,Richard Gonzalez,Roy Emerson,Champions Classic,RR,6-3 6-2 6-3,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
94,19700716,1970-07-16,Roy Emerson,Ken Rosewall,Champions Classic,SF,4-6 6-1 6-4 4-6 6-5,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
95,19700716,1970-07-16,Ken Rosewall,Rod Laver,Champions Classic,F,6-4 6-3 6-3,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
96,19700809,1970-08-09,Rod Laver,Tony Roche,Boston,F,3-6 6-4 1-6 6-2 6-2,PLAYED,backbone,S+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
97,19700817,1970-08-17,Tony Roche,Ilie Nastase,Hamburg,SF,3-6 7-5 6-1 6-4,PLAYED,backbone,S+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
98,19700817,1970-08-17,Ilie Nastase,Tom Okker,Hamburg,F,4-6 6-3 6-3 6-4,PLAYED,backbone,S+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
99,19700902,1970-09-02,Tom Okker,Arthur Ashe,US Open,R16,6-4 6-7 6-2 6-3,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
100,19700902,1970-09-02,Arthur Ashe,John Newcombe,US Open,QF,6-1 7-6 5-7 7-6,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
101,19700902,1970-09-02,John Newcombe,Ken Rosewall,US Open,SF,6-3 6-4 6-3,PLAYED,backbone,S+TML+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
102,19701003,1970-10-03,Ken Rosewall,Zeljko Franulovic,Barcelona,QF,10-8 7-5 6-3,PLAYED,backbone,S+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
103,19701003,1970-10-03,Zeljko Franulovic,Manuel Santana,Barcelona,SF,7-5 4-6 6-4 6-1,PLAYED,backbone,S+DH+UTS,1970,FALSE,FALSE,FALSE,TRUE
104,19710214,1971-02-14,Manuel Santana,Jim Osborne,New York,R16,6-4 6-4,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
105,19710214,1971-02-14,Jim Osborne,Zeljko Franulovic,New York,QF,6-4 6-4,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
106,19710221,1971-02-21,Zeljko Franulovic,Vladimir Zednik,Salisbury,R32,3-6 6-4 6-4,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
107,19710221,1971-02-21,Vladimir Zednik,Cliff Richey,Salisbury,SF,6-4 3-6 6-7 6-2 6-1,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
108,19710221,1971-02-21,Cliff Richey,Clark Graebner,Salisbury,F,2-6 7-6 1-6 7-6 6-0,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
109,19710301,1971-03-01,Clark Graebner,Zeljko Franulovic,Macon,SF,6-2 6-1,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
110,19710307,1971-03-07,Zeljko Franulovic,Ilie Nastase,Hampton,SF,1-6 6-0 6-2 5-7 7-5,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
111,19710418,1971-04-18,Ilie Nastase,Pierre Barthes,Palermo,QF,7-6 7-6,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
112,19710418,1971-04-18,Pierre Barthes,Roger Taylor,Palermo,F,6-3 4-6 7-6 6-2,PLAYED,backbone,S+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
113,19710421,1971-04-21,Roger Taylor,Cliff Drysdale,Denver,RR,6-2,PLAYED,backbone,S+TML+DH+UTS,1971,FALSE,FALSE,FALSE,TRUE
