date,match_date,from,to,tournament,score
20021007,2002-10-07,Gustavo Kuerten,Paul Henri Mathieu,Lyon,4-6 6-3 6-1
20030317,2003-03-17,Paul Henri Mathieu,Hyung Taik Lee,Miami Masters,6-1 1-6 6-1
20030317,2003-03-17,Hyung Taik Lee,Robby Ginepri,Miami Masters,6-3 6-2
20030609,2003-06-09,Robby Ginepri,Greg Rusedski,Queen's Club,7-6(5) 3-6 6-0
20030623,2003-06-23,Greg Rusedski,Andy Roddick,Wimbledon,7-6(4) 7-6(1) 7-5
20030623,2003-06-23,Andy Roddick,Roger Federer,Wimbledon,7-6(6) 6-3 6-3
20030707,2003-07-07,Roger Federer,Jiri Novak,Gstaad,5-7 6-3 6-3 1-6 6-3
20030714,2003-07-14,Jiri Novak,Mikhail Youzhny,Stuttgart,7-6(1) 6-4
20030721,2003-07-21,Mikhail Youzhny,Nicolas Lapentti,Kitzbuhel,6-3 6-3
20030721,2003-07-21,Nicolas Lapentti,Nicolas Massu,Kitzbuhel,7-5 6-4
20030804,2003-08-04,Nicolas Massu,Max Mirnyi,Canada Masters,6-4 7-6(4)
20030804,2003-08-04,Max Mirnyi,Roger Federer,Canada Masters,6-2 7-6(3)
20030811,2003-08-11,Roger Federer,David Nalbandian,Cincinnati Masters,7-6(4) 7-6(5)
20030811,2003-08-11,David Nalbandian,Mardy Fish,Cincinnati Masters,7-6(3) 6-3
20030825,2003-08-25,Mardy Fish,Karol Kucera,US Open,6-4 7-6(7) 6-4
20030929,2003-09-29,Karol Kucera,Marc Rosset,Moscow,7-5 7-6(6)
20030929,2003-09-29,Marc Rosset,Taylor Dent,Moscow,6-3 6-4
20031020,2003-10-20,Taylor Dent,Robby Ginepri,Stockholm,6-7(2) 7-6(7) 6-4
20031020,2003-10-20,Robby Ginepri,Thomas Enqvist,Stockholm,6-3 6-4
20040105,2004-01-05,Thomas Enqvist,Hicham Arazi,Doha,7-6(1) 2-6 6-3
20040119,2004-01-19,Hicham Arazi,Juan Carlos Ferrero,Australian Open,6-1 7-6(6) 7-6(5)
20040119,2004-01-19,Juan Carlos Ferrero,Roger Federer,Australian Open,6-4 6-1 6-4
20040216,2004-02-16,Roger Federer,Tim Henman,Rotterdam,6-3 7-6(9)
20040301,2004-03-01,Tim Henman,Tomas Zib,Dubai,6-4 3-6 7-6(4)
20040517,2004-05-17,Tomas Zib,Raemon Sluiter,St. Poelten,6-4 2-6 6-3
20040524,2004-05-24,Raemon Sluiter,Carlos Moya,Roland Garros,6-0 6-3 6-4
20040524,2004-05-24,Carlos Moya,Guillermo Coria,Roland Garros,7-5 7-6(3) 6-3
20040607,2004-06-07,Guillermo Coria,Yen Hsun Lu,Queen's Club,6-2 6-4
20040614,2004-06-14,Yen Hsun Lu,Michael Llodra,s Hertogenbosch,6-3 6-1
20040621,2004-06-21,Michael Llodra,Cyril Saulnier,Wimbledon,7-5 4-6 7-6(6) 7-6(3)
20040621,2004-06-21,Cyril Saulnier,Feliciano Lopez,Wimbledon,3-6 6-3 6-4 6-7(3) 8-6
20040621,2004-06-21,Feliciano Lopez,Ivo Karlovic,Wimbledon,7-6(12) 7-6(3) 6-7(2) 7-5
20040621,2004-06-21,Ivo Karlovic,Roger Federer,Wimbledon,6-3 7-6(3) 7-6(5)
20040802,2004-08-02,Roger Federer,Dominik Hrbaty,Cincinnati Masters,1-6 7-6(7) 6-4
20040802,2004-08-02,Dominik Hrbaty,Jonas Bjorkman,Cincinnati Masters,6-7(6) 6-3 6-3
20040816,2004-08-16,Jonas Bjorkman,Mardy Fish,Athens Olympics,7-6(7) 1-0 RET
20040816,2004-08-16,Mardy Fish,Nicolas Massu,Athens Olympics,6-3 3-6 2-6 6-3 6-4
20040830,2004-08-30,Nicolas Massu,Sargis Sargsian,US Open,6-7(6) 6-4 3-6 7-6(6) 6-4
20041004,2004-10-04,Sargis Sargsian,Juan Carlos Ferrero,Lyon,6-3 7-6(4)
20041018,2004-10-18,Juan Carlos Ferrero,Luis Horna,Madrid Masters,6-3 6-1
20041018,2004-10-18,Luis Horna,Marat Safin,Madrid Masters,6-4 6-4
20041025,2004-10-25,Marat Safin,Michael Llodra,St. Petersburg,6-4 6-1
20041101,2004-11-01,Michael Llodra,Radek Stepanek,Paris Masters,7-6(2) 6-1
20050103,2005-01-03,Radek Stepanek,Olivier Rochus,Adelaide,6-0 6-3
20050110,2005-01-10,Olivier Rochus,Fernando Gonzalez,Auckland,6-4 6-2
20050117,2005-01-17,Fernando Gonzalez,David Nalbandian,Australian Open,6-7(3) 7-5 6-2 6-3
20050117,2005-01-17,David Nalbandian,Lleyton Hewitt,Australian Open,6-3 6-2 1-6 3-6 10-8
20050117,2005-01-17,Lleyton Hewitt,Marat Safin,Australian Open,1-6 6-3 6-4 6-4
20050221,2005-02-21,Marat Safin,Nicolas Kiefer,Dubai,7-6(2) 6-4
20050221,2005-02-21,Nicolas Kiefer,Tommy Robredo,Dubai,6-4 6-4
20050307,2005-03-07,Tommy Robredo,Tim Henman,Indian Wells Masters,6-4 2-6 6-2
20050321,2005-03-21,Tim Henman,Roger Federer,Miami Masters,6-4 6-2
20050411,2005-04-11,Roger Federer,Richard Gasquet,Monte Carlo Masters,6-7(1) 6-2 7-6(8)
20050502,2005-05-02,Richard Gasquet,Andre Agassi,Rome Masters,6-2 6-3
20050502,2005-05-02,Andre Agassi,Guillermo Coria,Rome Masters,7-5 7-6(0)
20050502,2005-05-02,Guillermo Coria,Rafael Nadal,Rome Masters,6-4 3-6 6-3 4-6 7-6(6)
20050606,2005-06-06,Rafael Nadal,Alexander Waske,Halle,4-6 7-5 6-3
20050606,2005-06-06,Alexander Waske,Juan Carlos Ferrero,Halle,7-6(5) 6-7(7) 6-3
20050606,2005-06-06,Juan Carlos Ferrero,Tommy Haas,Halle,6-2 7-5
20050620,2005-06-20,Tommy Haas,Janko Tipsarevic,Wimbledon,6-2 2-1 RET
20050620,2005-06-20,Janko Tipsarevic,Thomas Johansson,Wimbledon,6-2 6-3 6-1
20050808,2005-08-08,Thomas Johansson,Xavier Malisse,Canada Masters,7-5 7-6(4)
20050815,2005-08-15,Xavier Malisse,Carlos Moya,Cincinnati Masters,6-4 6-4
20050815,2005-08-15,Carlos Moya,Robby Ginepri,Cincinnati Masters,6-3 6-4
20050815,2005-08-15,Robby Ginepri,Roger Federer,Cincinnati Masters,4-6 7-5 6-4
20051114,2005-11-14,Roger Federer,David Nalbandian,Masters Cup,6-7(4) 6-7(11) 6-2 6-1 7-6(3)
20051114,2005-11-14,David Nalbandian,Roger Federer,Masters Cup,6-3 2-6 6-4
20060227,2006-02-27,Roger Federer,Rafael Nadal,Dubai,2-6 6-4 6-4
20060306,2006-03-06,Rafael Nadal,James Blake,Indian Wells Masters,7-5 6-3
20060306,2006-03-06,James Blake,Roger Federer,Indian Wells Masters,7-5 6-3 6-0
20060417,2006-04-17,Roger Federer,Rafael Nadal,Monte Carlo Masters,6-2 6-7(2) 6-3 7-6(5)
20060612,2006-06-12,Rafael Nadal,Lleyton Hewitt,Queen's Club,3-6 6-3 RET
20060626,2006-06-26,Lleyton Hewitt,Marcos Baghdatis,Wimbledon,6-1 5-7 7-6(5) 6-2
20060626,2006-06-26,Marcos Baghdatis,Rafael Nadal,Wimbledon,6-1 7-5 6-3
20060626,2006-06-26,Rafael Nadal,Roger Federer,Wimbledon,6-0 7-6(5) 6-7(2) 6-3
20060814,2006-08-14,Roger Federer,Andy Murray,Cincinnati Masters,7-5 6-4
20060814,2006-08-14,Andy Murray,Andy Roddick,Cincinnati Masters,6-3 6-4
20060828,2006-08-28,Andy Roddick,Roger Federer,US Open,6-2 4-6 7-5 6-1
20070305,2007-03-05,Roger Federer,Guillermo Canas,Indian Wells Masters,7-5 6-2
20070319,2007-03-19,Guillermo Canas,Novak Djokovic,Miami Masters,6-3 6-2 6-4
20070415,2007-04-15,Novak Djokovic,David Ferrer,Monte Carlo Masters,7-5 6-4
20070415,2007-04-15,David Ferrer,Roger Federer,Monte Carlo Masters,6-4 6-0
20070507,2007-05-07,Roger Federer,Filippo Volandri,Rome Masters,6-2 6-4
20070514,2007-05-14,Filippo Volandri,Jose Acasuso,Hamburg Masters,3-6 7-6(3) 6-3
20070514,2007-05-14,Jose Acasuso,Nicolas Almagro,Hamburg Masters,6-2 6-3
20070528,2007-05-28,Nicolas Almagro,Michael Llodra,Roland Garros,2-6 6-2 6-7(7) 6-4 6-4
20070528,2007-05-28,Michael Llodra,Nikolay Davydenko,Roland Garros,6-4 6-2 6-4
20070528,2007-05-28,Nikolay Davydenko,Roger Federer,Roland Garros,7-5 7-6(5) 7-6(7)
20070805,2007-08-05,Roger Federer,Novak Djokovic,Canada Masters,7-6(2) 2-6 7-6(2)
20070813,2007-08-13,Novak Djokovic,Carlos Moya,Cincinnati Masters,6-4 6-1
20070813,2007-08-13,Carlos Moya,Lleyton Hewitt,Cincinnati Masters,6-2 6-4
20070813,2007-08-13,Lleyton Hewitt,Roger Federer,Cincinnati Masters,6-3 6-7(7) 7-6(1)
20071015,2007-10-15,Roger Federer,David Nalbandian,Madrid Masters,1-6 6-3 6-3
20071022,2007-10-22,David Nalbandian,Stan Wawrinka,Basel,7-6(5) 6-2
20071022,2007-10-22,Stan Wawrinka,Tomas Berdych,Basel,7-5 6-4
20071028,2007-10-28,Tomas Berdych,David Ferrer,Paris Masters,6-4 6-2
20071028,2007-10-28,David Ferrer,David Nalbandian,Paris Masters,7-6(3) 6-7(3) 6-2
20080114,2008-01-14,David Nalbandian,Juan Carlos Ferrero,Australian Open,6-1 6-2 6-3
20080211,2008-02-11,Juan Carlos Ferrero,Nicolas Mahut,Marseille,5-7 6-4 7-6(1)
20080218,2008-02-18,Nicolas Mahut,Teymuraz Gabashvili,Rotterdam,6-2 7-6(7)
20080225,2008-02-25,Teymuraz Gabashvili,Ivan Ljubicic,Zagreb,6-2 6-7(5) 6-3
20080225,2008-02-25,Ivan Ljubicic,Sergiy Stakhovsky,Zagreb,7-5 6-4
20080414,2008-04-14,Sergiy Stakhovsky,Daniel Gimeno Traver,Valencia,6-4 6-4
20080414,2008-04-14,Daniel Gimeno Traver,Evgeny Korolev,Valencia,6-7(8) 7-6(2) 6-3
20080414,2008-04-14,Evgeny Korolev,Nicolas Almagro,Valencia,6-1 6-4
20080420,2008-04-20,Nicolas Almagro,Igor Andreev,Monte Carlo Masters,7-5 4-6 6-4
20080420,2008-04-20,Igor Andreev,Nikolay Davydenko,Monte Carlo Masters,6-3 4-6 7-5
20080420,2008-04-20,Nikolay Davydenko,Rafael Nadal,Monte Carlo Masters,6-3 6-2
20080505,2008-05-05,Rafael Nadal,Juan Carlos Ferrero,Rome Masters,7-5 6-1
20080505,2008-05-05,Juan Carlos Ferrero,Stan Wawrinka,Rome Masters,6-4 6-3
20080511,2008-05-11,Stan Wawrinka,Nicolas Kiefer,Hamburg Masters,7-5 7-5
20080518,2008-05-18,Nicolas Kiefer,Dmitry Tursunov,Dusseldorf,6-4 3-6 7-5
20080525,2008-05-25,Dmitry Tursunov,Jeremy Chardy,Roland Garros,7-6(1) 6-3 6-4
20080525,2008-05-25,Jeremy Chardy,Nicolas Almagro,Roland Garros,7-6(0) 7-6(7) 7-5
20080525,2008-05-25,Nicolas Almagro,Rafael Nadal,Roland Garros,6-1 6-1 6-1
20080728,2008-07-28,Rafael Nadal,Novak Djokovic,Cincinnati Masters,6-1 7-5
20080811,2008-08-11,Novak Djokovic,Rafael Nadal,Beijing Olympics,6-4 1-6 6-4
20080825,2008-08-25,Rafael Nadal,Andy Murray,US Open,6-2 7-6(5) 4-6 6-4
20080825,2008-08-25,Andy Murray,Roger Federer,US Open,6-2 7-5 6-2
20081012,2008-10-12,Roger Federer,Andy Murray,Madrid Masters,3-6 6-3 7-5
20081026,2008-10-26,Andy Murray,David Nalbandian,Paris Masters,7-6(3) 6-3
20081026,2008-10-26,David Nalbandian,Jo-Wilfried Tsonga,Paris Masters,6-3 4-6 6-4
20081109,2008-11-09,Jo-Wilfried Tsonga,Juan Martin del Potro,Masters Cup,7-6(4) 7-6(5)
20081109,2008-11-09,Juan Martin del Potro,Nikolay Davydenko,Masters Cup,6-3 6-2
20081109,2008-11-09,Nikolay Davydenko,Novak Djokovic,Masters Cup,7-6(3) 0-6 7-5
20090104,2009-01-04,Novak Djokovic,Ernests Gulbis,Brisbane,6-4 6-4
20090104,2009-01-04,Ernests Gulbis,Paul Henri Mathieu,Brisbane,6-3 6-4
20090112,2009-01-12,Paul Henri Mathieu,Novak Djokovic,Sydney,6-1 6-2
20090119,2009-01-19,Novak Djokovic,Andy Roddick,Australian Open,6-7(3) 6-4 6-2 2-1 RET
20090119,2009-01-19,Andy Roddick,Roger Federer,Australian Open,6-2 7-5 7-5
20090312,2009-03-12,Roger Federer,Andy Murray,Indian Wells Masters,6-3 4-6 6-1
20090312,2009-03-12,Andy Murray,Rafael Nadal,Indian Wells Masters,6-1 6-2
20090325,2009-03-25,Rafael Nadal,Juan Martin del Potro,Miami Masters,6-4 3-6 7-6(3)
20090412,2009-04-12,Juan Martin del Potro,Ivan Ljubicic,Monte Carlo Masters,4-6 6-1 6-4
20090412,2009-04-12,Ivan Ljubicic,Rafael Nadal,Monte Carlo Masters,6-3 6-3
20090510,2009-05-10,Rafael Nadal,Roger Federer,Madrid Masters,6-4 6-4
20090810,2009-08-10,Roger Federer,Jo-Wilfried Tsonga,Canada Masters,7-6(5) 1-6 7-6(3)
20090816,2009-08-16,Jo-Wilfried Tsonga,Chris Guccione,Cincinnati Masters,7-6(12) 6-2
20090816,2009-08-16,Chris Guccione,Tomas Berdych,Cincinnati Masters,6-4 6-3
20090831,2009-08-31,Tomas Berdych,Fernando Gonzalez,US Open,7-5 6-4 6-4
20090831,2009-08-31,Fernando Gonzalez,Rafael Nadal,US Open,7-6(4) 7-6(2) 6-0
20091005,2009-10-05,Rafael Nadal,Marin Cilic,Beijing,6-1 6-3
20091005,2009-10-05,Marin Cilic,Novak Djokovic,Beijing,6-2 7-6(4)
20091011,2009-10-11,Novak Djokovic,Nikolay Davydenko,Shanghai Masters,4-6 6-4 7-6(1)
20091019,2009-10-19,Nikolay Davydenko,Marat Safin,Moscow,4-6 6-4 6-2
20091025,2009-10-25,Marat Safin,Sergiy Stakhovsky,St. Petersburg,6-4 4-6 6-4
20100104,2010-01-04,Sergiy Stakhovsky,Lukasz Kubot,Doha,6-2 7-6(5)
20100104,2010-01-04,Lukasz Kubot,Viktor Troicki,Doha,4-6 6-4 7-6(1)
20100111,2010-01-11,Viktor Troicki,Marcos Baghdatis,Sydney,7-5 6-3
20100118,2010-01-18,Marcos Baghdatis,Lleyton Hewitt,Australian Open,6-0 4-2 RET
20100118,2010-01-18,Lleyton Hewitt,Roger Federer,Australian Open,6-2 6-3 6-4
20100311,2010-03-11,Roger Federer,Marcos Baghdatis,Indian Wells Masters,5-7 7-5 7-6(4)
20100311,2010-03-11,Marcos Baghdatis,Tommy Robredo,Indian Wells Masters,7-5 0-6 6-4
20100324,2010-03-24,Tommy Robredo,Benjamin Becker,Miami Masters,1-6 6-4 7-6(1)
20100411,2010-04-11,Benjamin Becker,Juan Carlos Ferrero,Monte Carlo Masters,6-3 6-4
20100411,2010-04-11,Juan Carlos Ferrero,Rafael Nadal,Monte Carlo Masters,6-4 6-2
20100607,2010-06-07,Rafael Nadal,Feliciano Lopez,Queen's Club,7-6(5) 6-4
20100607,2010-06-07,Feliciano Lopez,Mardy Fish,Queen's Club,6-3 6-4
20100607,2010-06-07,Mardy Fish,Sam Querrey,Queen's Club,7-6(3) 7-5
20100621,2010-06-21,Sam Querrey,Andy Murray,Wimbledon,7-5 6-3 6-4
20100621,2010-06-21,Andy Murray,Rafael Nadal,Wimbledon,6-4 7-6(6) 6-4
20100809,2010-08-09,Rafael Nadal,Andy Murray,Canada Masters,6-3 6-4
20100815,2010-08-15,Andy Murray,Mardy Fish,Cincinnati Masters,6-7(7) 6-1 7-6(5)
20100815,2010-08-15,Mardy Fish,Roger Federer,Cincinnati Masters,6-7(5) 7-6(1) 6-4
20100830,2010-08-30,Roger Federer,Novak Djokovic,US Open,5-7 6-1 5-7 6-2 7-5
20100830,2010-08-30,Novak Djokovic,Rafael Nadal,US Open,6-4 5-7 6-4 6-2
20100927,2010-09-27,Rafael Nadal,Guillermo Garcia Lopez,Bangkok,2-6 7-6(3) 6-3
20101004,2010-10-04,Guillermo Garcia Lopez,Viktor Troicki,Tokyo,6-2 3-6 6-4
20101025,2010-10-25,Viktor Troicki,Rainer Schuettler,St. Petersburg,6-3 4-6 6-3
20110103,2011-01-03,Rainer Schuettler,Teymuraz Gabashvili,Doha,6-4 7-6(2)
20110103,2011-01-03,Teymuraz Gabashvili,Viktor Troicki,Doha,6-3 6-1
20110110,2011-01-10,Viktor Troicki,Gilles Simon,Sydney,7-5 7-6(4)
20110117,2011-01-17,Gilles Simon,Roger Federer,Australian Open,6-2 6-3 4-6 4-6 6-3
20110221,2011-02-21,Roger Federer,Novak Djokovic,Dubai,6-3 6-3
20110522,2011-05-22,Novak Djokovic,Roger Federer,Roland Garros,7-6(5) 6-3 3-6 7-6(5)
20110620,2011-06-20,Roger Federer,Jo-Wilfried Tsonga,Wimbledon,3-6 6-7(3) 6-4 6-4 6-4
20110620,2011-06-20,Jo-Wilfried Tsonga,Novak Djokovic,Wimbledon,7-6(4) 6-2 6-7(9) 6-3
20110814,2011-08-14,Novak Djokovic,Andy Murray,Cincinnati Masters,6-4 3-0 RET
20110829,2011-08-29,Andy Murray,Rafael Nadal,US Open,6-4 6-2 3-6 6-2
20111003,2011-10-03,Rafael Nadal,Andy Murray,Tokyo,3-6 6-2 6-0
20111107,2011-11-07,Andy Murray,Tomas Berdych,Paris Masters,4-6 7-6(5) 6-4
20111120,2011-11-20,Tomas Berdych,Jo-Wilfried Tsonga,Tour Finals,6-3 7-5
20111120,2011-11-20,Jo-Wilfried Tsonga,Roger Federer,Tour Finals,6-2 2-6 6-4
20120102,2012-01-02,Roger Federer,Jo-Wilfried Tsonga,Doha,W/O
20120116,2012-01-16,Jo-Wilfried Tsonga,Kei Nishikori,Australian Open,2-6 6-2 6-1 3-6 6-3
20120220,2012-02-20,Kei Nishikori,Stan Wawrinka,Buenos Aires,6-4 6-2
20120227,2012-02-27,Stan Wawrinka,Fernando Verdasco,Acapulco,6-3 6-3
20120308,2012-03-08,Fernando Verdasco,Juan Martin del Potro,Indian Wells Masters,6-2 7-6(6)
20120308,2012-03-08,Juan Martin del Potro,Roger Federer,Indian Wells Masters,6-3 6-2
20120321,2012-03-21,Roger Federer,Andy Roddick,Miami Masters,7-6(4) 1-6 6-4
20120321,2012-03-21,Andy Roddick,Juan Monaco,Miami Masters,7-5 6-0
20120321,2012-03-21,Juan Monaco,Novak Djokovic,Miami Masters,6-0 7-6(5)
20120415,2012-04-15,Novak Djokovic,Rafael Nadal,Monte Carlo Masters,6-3 6-1
20120506,2012-05-06,Rafael Nadal,Fernando Verdasco,Madrid Masters,6-3 3-6 7-5
20120506,2012-05-06,Fernando Verdasco,Tomas Berdych,Madrid Masters,6-1 6-2
20120513,2012-05-13,Tomas Berdych,Rafael Nadal,Rome Masters,6-4 7-5
20120611,2012-06-11,Rafael Nadal,Philipp Kohlschreiber,Halle,6-3 6-4
20120611,2012-06-11,Philipp Kohlschreiber,Tommy Haas,Halle,7-6(5) 7-5
20120625,2012-06-25,Tommy Haas,Philipp Kohlschreiber,Wimbledon,3-6 7-6(8) 6-7(5) 7-6(1) 6-2
20120716,2012-07-16,Philipp Kohlschreiber,Nicolas Almagro,Hamburg,7-5 7-5
20120725,2012-07-25,Nicolas Almagro,Andy Murray,London Olympics,6-4 6-1
20120806,2012-08-06,Andy Murray,Milos Raonic,Canada Masters,W/O
20120812,2012-08-12,Milos Raonic,Stan Wawrinka,Cincinnati Masters,2-6 7-6(5) 6-4
20120827,2012-08-27,Stan Wawrinka,Novak Djokovic,US Open,6-4 6-1 3-1 RET
20121029,2012-10-29,Novak Djokovic,Sam Querrey,Paris Masters,0-6 7-6(5) 6-4
20130107,2013-01-07,Sam Querrey,Philipp Kohlschreiber,Auckland,6-4 7-6(2)
20130114,2013-01-14,Philipp Kohlschreiber,Milos Raonic,Australian Open,7-6(4) 6-3 6-4
20130114,2013-01-14,Milos Raonic,Roger Federer,Australian Open,6-4 7-6(4) 6-2
20130211,2013-02-11,Roger Federer,Julien Benneteau,Rotterdam,6-3 7-5
20130218,2013-02-18,Julien Benneteau,Jerzy Janowicz,Marseille,7-6(0) 6-3
20130218,2013-02-18,Jerzy Janowicz,Tomas Berdych,Marseille,6-3 6-7(0) 6-3
20130225,2013-02-25,Tomas Berdych,Novak Djokovic,Dubai,7-5 6-3
20130307,2013-03-07,Novak Djokovic,Juan Martin del Potro,Indian Wells Masters,4-6 6-4 6-4
20130307,2013-03-07,Juan Martin del Potro,Rafael Nadal,Indian Wells Masters,4-6 6-3 6-4
20130414,2013-04-14,Rafael Nadal,Novak Djokovic,Monte Carlo Masters,6-2 7-6(1)
20130505,2013-05-05,Novak Djokovic,Grigor Dimitrov,Madrid Masters,7-6(6) 6-7(8) 6-3
20130505,2013-05-05,Grigor Dimitrov,Stan Wawrinka,Madrid Masters,3-6 6-4 6-1
20130512,2013-05-12,Stan Wawrinka,Alexandr Dolgopolov,Rome Masters,W/O
20130512,2013-05-12,Alexandr Dolgopolov,Novak Djokovic,Rome Masters,6-1 6-4
20130512,2013-05-12,Novak Djokovic,Tomas Berdych,Rome Masters,2-6 7-5 6-4
20130527,2013-05-27,Tomas Berdych,Gael Monfils,Roland Garros,7-6(8) 6-4 6-7(3) 6-7(4) 7-5
20130527,2013-05-27,Gael Monfils,Tommy Robredo,Roland Garros,2-6 6-7(5) 6-2 7-6(3) 6-2
20130624,2013-06-24,Tommy Robredo,Andy Murray,Wimbledon,6-2 6-4 7-5
20130805,2013-08-05,Andy Murray,Ernests Gulbis,Canada Masters,6-4 6-3
20130805,2013-08-05,Ernests Gulbis,Milos Raonic,Canada Masters,7-6(3) 4-6 6-4
20130805,2013-08-05,Milos Raonic,Rafael Nadal,Canada Masters,6-2 6-2
20130930,2013-09-30,Rafael Nadal,Novak Djokovic,Beijing,6-3 6-4
20140113,2014-01-13,Novak Djokovic,Stan Wawrinka,Australian Open,2-6 6-4 6-2 3-6 9-7
20140306,2014-03-06,Stan Wawrinka,Kevin Anderson,Indian Wells Masters,7-6(1) 4-6 6-1
20140306,2014-03-06,Kevin Anderson,Roger Federer,Indian Wells Masters,7-5 6-1
20140319,2014-03-19,Roger Federer,Kei Nishikori,Miami Masters,3-6 7-5 6-4
20140319,2014-03-19,Kei Nishikori,Novak Djokovic,Miami Masters,W/O
20140413,2014-04-13,Novak Djokovic,Roger Federer,Monte Carlo Masters,7-5 6-2
20140413,2014-04-13,Roger Federer,Stan Wawrinka,Monte Carlo Masters,4-6 7-6(5) 6-2
20140504,2014-05-04,Stan Wawrinka,Dominic Thiem,Madrid Masters,1-6 6-2 6-4
20140504,2014-05-04,Dominic Thiem,Feliciano Lopez,Madrid Masters,W/O
20140504,2014-05-04,Feliciano Lopez,Kei Nishikori,Madrid Masters,6-4 6-4
20140504,2014-05-04,Kei Nishikori,Rafael Nadal,Madrid Masters,2-6 6-4 3-0 RET
20140511,2014-05-11,Rafael Nadal,Novak Djokovic,Rome Masters,4-6 6-3 6-3
20140526,2014-05-26,Novak Djokovic,Rafael Nadal,Roland Garros,3-6 7-5 6-2 6-4
20140609,2014-06-09,Rafael Nadal,Dustin Brown,Halle,6-4 6-1
20140609,2014-06-09,Dustin Brown,Philipp Kohlschreiber,Halle,6-4 5-7 7-6(16)
20140623,2014-06-23,Philipp Kohlschreiber,Simone Bolelli,Wimbledon,4-6 6-4 6-3 2-6 7-5
20140825,2014-08-25,Simone Bolelli,Tommy Robredo,US Open,5-7 6-7(5) 6-4 6-3 6-2
20140922,2014-09-22,Tommy Robredo,Andy Murray,Shenzhen,5-7 7-6(9) 6-1
20140929,2014-09-29,Andy Murray,Novak Djokovic,Beijing,6-3 6-4
20141005,2014-10-05,Novak Djokovic,Roger Federer,Shanghai Masters,6-4 6-4
20141027,2014-10-27,Roger Federer,Milos Raonic,Paris Masters,7-6(5) 7-5
20141027,2014-10-27,Milos Raonic,Novak Djokovic,Paris Masters,6-2 6-3
20150105,2015-01-05,Novak Djokovic,Ivo Karlovic,Doha,6-7(2) 7-6(6) 6-4
20150119,2015-01-19,Ivo Karlovic,Nick Kyrgios,Australian Open,7-6(4) 6-4 5-7 6-4
20150312,2015-03-12,Nick Kyrgios,Grigor Dimitrov,Indian Wells Masters,7-6(2) 3-6 7-6(4)
20150312,2015-03-12,Grigor Dimitrov,Tommy Robredo,Indian Wells Masters,6-4 1-6 7-5
20150325,2015-03-25,Tommy Robredo,Alexandr Dolgopolov,Miami Masters,6-7(1) 6-3 7-5
20150325,2015-03-25,Alexandr Dolgopolov,Novak Djokovic,Miami Masters,6-7(3) 7-5 6-0
20150524,2015-05-24,Novak Djokovic,Stan Wawrinka,Roland Garros,4-6 6-4 6-3 6-4
20150615,2015-06-15,Stan Wawrinka,Kevin Anderson,Queen's Club,7-6(4) 7-6(11)
20150629,2015-06-29,Kevin Anderson,Novak Djokovic,Wimbledon,6-7(6) 6-7(6) 6-1 6-4 7-5
20150810,2015-08-10,Novak Djokovic,Andy Murray,Canada Masters,6-4 4-6 6-3
20150816,2015-08-16,Andy Murray,Roger Federer,Cincinnati Masters,6-4 7-6(6)
20150831,2015-08-31,Roger Federer,Novak Djokovic,US Open,6-4 5-7 6-4 6-4
20151115,2015-11-15,Novak Djokovic,Roger Federer,Tour Finals,7-5 6-2
20160104,2016-01-04,Roger Federer,Milos Raonic,Brisbane,6-4 6-4
20160118,2016-01-18,Milos Raonic,Andy Murray,Australian Open,4-6 7-5 6-7(4) 6-4 6-2
20160118,2016-01-18,Andy Murray,Novak Djokovic,Australian Open,6-1 7-5 7-6(3)
20160222,2016-02-22,Novak Djokovic,Feliciano Lopez,Dubai,6-3 0-0 RET
20160222,2016-02-22,Feliciano Lopez,Marcos Baghdatis,Dubai,3-6 7-6(1) 6-1
20160222,2016-02-22,Marcos Baghdatis,Stan Wawrinka,Dubai,6-4 7-6(13)
20160307,2016-03-07,Stan Wawrinka,David Goffin,Indian Wells Masters,6-3 5-7 7-6(5)
20160307,2016-03-07,David Goffin,Milos Raonic,Indian Wells Masters,6-3 3-6 6-3
20160307,2016-03-07,Milos Raonic,Novak Djokovic,Indian Wells Masters,6-2 6-0
20160411,2016-04-11,Novak Djokovic,Jiri Vesely,Monte Carlo Masters,6-4 2-6 6-4
20160425,2016-04-25,Jiri Vesely,Grigor Dimitrov,Istanbul,7-6(1) 6-1
20160502,2016-05-02,Grigor Dimitrov,Pablo Carreno Busta,Madrid Masters,7-6(3) 6-3
20160516,2016-05-16,Pablo Carreno Busta,Stan Wawrinka,Geneva,6-3 6-1
20160523,2016-05-23,Stan Wawrinka,Andy Murray,Roland Garros,6-4 6-2 4-6 6-2
20160523,2016-05-23,Andy Murray,Novak Djokovic,Roland Garros,3-6 6-1 6-2 6-4
20160627,2016-06-27,Novak Djokovic,Sam Querrey,Wimbledon,7-6(6) 6-1 3-6 7-6(5)
20160718,2016-07-18,Sam Querrey,Gael Monfils,Washington,6-4 3-6 6-1
20160725,2016-07-25,Gael Monfils,Novak Djokovic,Canada Masters,6-3 6-2
20160808,2016-08-08,Novak Djokovic,Juan Martin del Potro,Rio Olympics,7-6(4) 7-6(2)
20160829,2016-08-29,Juan Martin del Potro,Stan Wawrinka,US Open,7-6(5) 4-6 6-3 6-2
20160919,2016-09-19,Stan Wawrinka,Alexander Zverev,St. Petersburg,6-2 3-6 7-5
