date,match_date,from,to,tournament,score
19780424,1978-04-24,Brian Gottfried,Harold Solomon,Las Vegas,7-6 6-4
19780508,1978-05-08,Harold Solomon,Jose Higueras,Nations Cup,6-2 6-2
19780515,1978-05-15,Jose Higueras,Guillermo Vilas,Hamburg,4-6 6-2 6-2
19780529,1978-05-29,Guillermo Vilas,Bjorn Borg,Roland Garros,6-1 6-1 6-3
19780829,1978-08-29,Bjorn Borg,Jimmy Connors,US Open,6-4 6-2 6-2
19781031,1978-10-31,Jimmy Connors,Brian Teacher,Tokyo Indoor,4-6 6-4 6-3
19781113,1978-11-13,Brian Teacher,Geoff Masters,Hong Kong,7-5 6-2
19781113,1978-11-13,Geoff Masters,Ramesh Krishnan,Hong Kong,6-3 4-6 6-4
19781120,1978-11-20,Ramesh Krishnan,Angel Gimenez,Manila,DEF
19781120,1978-11-20,Angel Gimenez,Yannick Noah,Manila,6-3 6-2
19781224,1978-12-24,Yannick Noah,Allan Stone,Sydney Outdoor,6-1 6-7 7-6
19781224,1978-12-24,Allan Stone,John Alexander,Sydney Outdoor,6-2 6-2
19781224,1978-12-24,John Alexander,Tim Wilkison,Sydney Outdoor,6-4 2-6 6-4
19781226,1978-12-26,Tim Wilkison,Allan Stone,Australian Open,6-3 6-2 6-3
19781226,1978-12-26,Allan Stone,Guillermo Vilas,Australian Open,6-4 6-4 6-4
19790115,1979-01-15,Guillermo Vilas,Eddie Dibbs,Birmingham,6-0 1-6 6-2
19790115,1979-01-15,Eddie Dibbs,Jimmy Connors,Birmingham,6-2 3-6 7-5
19790210,1979-02-10,Jimmy Connors,Bjorn Borg,Pepsi Grand Slam,6-2 6-3
19790212,1979-02-12,Bjorn Borg,Bruce Manson,Rancho Mirage,6-7 7-5 6-2
19790212,1979-02-12,Bruce Manson,Tom Okker,Rancho Mirage,6-4 5-7 6-4
19790219,1979-02-19,Tom Okker,Francisco Gonzalez,Denver,7-6 6-7 7-5
19790219,1979-02-19,Francisco Gonzalez,Wojtek Fibak,Denver,6-1 6-4
19790226,1979-02-26,Wojtek Fibak,Roscoe Tanner,Memphis,6-3 7-5
19790319,1979-03-19,Roscoe Tanner,John McEnroe,New Orleans,6-4 6-2
19790402,1979-04-02,John McEnroe,Bjorn Borg,Rotterdam,6-4 6-2
19790501,1979-05-01,Bjorn Borg,John McEnroe,Dallas WCT,7-5 4-6 6-2 7-6
19790625,1979-06-25,John McEnroe,Tim Gullikson,Wimbledon,6-4 6-2 6-4
19790709,1979-07-09,Tim Gullikson,Hank Pfister,Newport,6-4 6-2
19790709,1979-07-09,Hank Pfister,Stan Smith,Newport,6-1 6-4
19790820,1979-08-20,Stan Smith,Peter Fleming,Cincinnati,6-1 6-3
19790828,1979-08-28,Peter Fleming,Jaime Fillol,US Open,6-1 5-7 6-2 6-2
19790924,1979-09-24,Jaime Fillol,Jose Luis Clerc,Madrid,6-2 6-4
19790924,1979-09-24,Jose Luis Clerc,Manuel Orantes,Madrid,3-6 7-5 6-1
19790924,1979-09-24,Manuel Orantes,Yannick Noah,Madrid,6-3 6-7 6-3 6-2
19791015,1979-10-15,Yannick Noah,Johan Kriek,Basel,5-7 7-6 6-2
19791022,1979-10-22,Johan Kriek,Zeljko Franulovic,Vienna,6-0 1-6 6-1
